city,country,population,continent
LOWER HUTT,NEW ZEALAND,102400,OCEANIA
PALMERSTON NORTH,NEW ZEALAND,82400,OCEANIA
NELSON,NEW ZEALAND,60800,OCEANIA
NAPIER,NEW ZEALAND,57800,OCEANIA
WHANGAREI,NEW ZEALAND,52200,OCEANIA
INVERCARGILL,NEW ZEALAND,49200,OCEANIA
UPPER HUTT,NEW ZEALAND,39200,OCEANIA
GISBORNE,NEW ZEALAND,34300,OCEANIA
BLENHEIM,NEW ZEALAND,30300,OCEANIA
WHAKATANE,NEW ZEALAND,18700,OCEANIA
GREYMOUTH,NEW ZEALAND,10100,OCEANIA
WAITANGI,NEW ZEALAND,300,OCEANIA
ROTORUA,NEW ZEALAND,56200,OCEANIA
NEW PLYMOUTH,NEW ZEALAND,52500,OCEANIA
PORIRUA,NEW ZEALAND,52500,OCEANIA
WHANGANUI,NEW ZEALAND,43200,OCEANIA
TIMARU,NEW ZEALAND,27200,OCEANIA
PUKEKOHE EAST,NEW ZEALAND,26300,OCEANIA
PARAPARAUMU,NEW ZEALAND,25263,OCEANIA
TAUPO,NEW ZEALAND,22600,OCEANIA
MASTERTON,NEW ZEALAND,20200,OCEANIA
LEVIN,NEW ZEALAND,19550,OCEANIA
ASHTON,NEW ZEALAND,17700,OCEANIA
MACETOWN,NEW ZEALAND,16600,OCEANIA
CAMBRIDGE,NEW ZEALAND,15192,OCEANIA
TOKOROA,NEW ZEALAND,13350,OCEANIA
HAWERA,NEW ZEALAND,11100,OCEANIA
KAIRAKI,NEW ZEALAND,10200,OCEANIA
THAMES,NEW ZEALAND,6756,OCEANIA
KERIKERI,NEW ZEALAND,5856,OCEANIA
KAITAIA,NEW ZEALAND,5202,OCEANIA
WANAKA,NEW ZEALAND,5037,OCEANIA
TURANGI,NEW ZEALAND,3240,OCEANIA
HOKITIKA,NEW ZEALAND,3078,OCEANIA
RENWICK,NEW ZEALAND,2928,OCEANIA
KAIKOURA,NEW ZEALAND,2172,OCEANIA
TE ANAU,NEW ZEALAND,1857,OCEANIA
HALFMOON BAY,NEW ZEALAND,310,OCEANIA
GLENCOE,NEW ZEALAND,9750,OCEANIA
WESTPORT,NEW ZEALAND,3900,OCEANIA
MANAGUA,NICARAGUA,920000,NORTH AMERICA
LEÓN,NICARAGUA,164441,NORTH AMERICA
CHINANDEGA,NICARAGUA,139023,NORTH AMERICA
MASAYA,NICARAGUA,130113,NORTH AMERICA
MATAGALPA,NICARAGUA,109089,NORTH AMERICA
ESTELÍ,NICARAGUA,107839,NORTH AMERICA
GRANADA,NICARAGUA,105219,NORTH AMERICA
JUIGALPA,NICARAGUA,54731,NORTH AMERICA
JINOTEGA,NICARAGUA,51073,NORTH AMERICA
BLUEFIELDS,NICARAGUA,44373,NORTH AMERICA
BILWI,NICARAGUA,43001,NORTH AMERICA
OCOTAL,NICARAGUA,33928,NORTH AMERICA
RIVAS,NICARAGUA,31941,NORTH AMERICA
JINOTEPE,NICARAGUA,29507,NORTH AMERICA
BOACO,NICARAGUA,29046,NORTH AMERICA
SOMOTO,NICARAGUA,20316,NORTH AMERICA
SAN CARLOS,NICARAGUA,13451,NORTH AMERICA
SAN JUAN DEL SUR,NICARAGUA,7790,NORTH AMERICA
GREYTOWN,NICARAGUA,1000,NORTH AMERICA
NIAMEY,NIGER,915000,AFRICA
MARADI,NIGER,232555,AFRICA
ZINDER,NIGER,230358,AFRICA
AGADEZ,NIGER,117770,AFRICA
TAHOUA,NIGER,115956,AFRICA
DOSSO,NIGER,49750,AFRICA
DIFFA,NIGER,30988,AFRICA
TILLABÉRI,NIGER,19262,AFRICA
ARLIT,NIGER,100000,AFRICA
BIRNIN KONNI,NIGER,65252,AFRICA
GAYA,NIGER,33051,AFRICA
AYOROU,NIGER,26290,AFRICA
MADAOUA,NIGER,24804,AFRICA
NGUIGMI,NIGER,17897,AFRICA
GOURÉ,NIGER,14639,AFRICA
DJADO,NIGER,10,AFRICA
LAGOS,NIGERIA,9466000,AFRICA
KANO,NIGERIA,3140000,AFRICA
IBADAN,NIGERIA,2628000,AFRICA
ABUJA,NIGERIA,1576000,AFRICA
KADUNA,NIGERIA,1442000,AFRICA
BENIN CITY,NIGERIA,1190000,AFRICA
IKARE,NIGERIA,1099931,AFRICA
PORT HARCOURT,NIGERIA,1020000,AFRICA
OGBOMOSO,NIGERIA,951000,AFRICA
ABA,NIGERIA,897560,AFRICA
MAIDUGURI,NIGERIA,896000,AFRICA
ZARIA,NIGERIA,889000,AFRICA
WARRI,NIGERIA,830106,AFRICA
JOS,NIGERIA,816824,AFRICA
ILORIN,NIGERIA,771000,AFRICA
OYO,NIGERIA,736072,AFRICA
SOKOTO,NIGERIA,732178,AFRICA
ENUGU,NIGERIA,688862,AFRICA
ABEOKUTA,NIGERIA,593100,AFRICA
UYO,NIGERIA,554906,AFRICA
AWKA,NIGERIA,500000,AFRICA
ILE-IFE,NIGERIA,482365,AFRICA
CALABAR,NIGERIA,461796,AFRICA
ADO-EKITI,NIGERIA,446749,AFRICA
KATSINA,NIGERIA,432149,AFRICA
AKURE,NIGERIA,420594,AFRICA
OSOGBO,NIGERIA,408245,AFRICA
BAUCHI,NIGERIA,316149,AFRICA
SAPELE,NIGERIA,309162,AFRICA
MAKURDI,NIGERIA,292645,AFRICA
MINNA,NIGERIA,291905,AFRICA
OWO,NIGERIA,276574,AFRICA
GOMBE,NIGERIA,270366,AFRICA
UMUAHIA,NIGERIA,264662,AFRICA
ONDO,NIGERIA,257005,AFRICA
DAMATURU,NIGERIA,255895,AFRICA
IWO,NIGERIA,250443,AFRICA
GUSAU,NIGERIA,226857,AFRICA
MUBI,NIGERIA,225705,AFRICA
OWERRI,NIGERIA,215038,AFRICA
IJEBU-ODE,NIGERIA,209175,AFRICA
FUNTUA,NIGERIA,180475,AFRICA
BIDA,NIGERIA,173849,AFRICA
LAFIA,NIGERIA,127236,AFRICA
GASHUA,NIGERIA,125817,AFRICA
BAMA,NIGERIA,118121,AFRICA
JALINGO,NIGERIA,117757,AFRICA
NSUKKA,NIGERIA,111017,AFRICA
NGURU,NIGERIA,111014,AFRICA
BIRNIN KEBBI,NIGERIA,108164,AFRICA
AZARE,NIGERIA,105687,AFRICA
YOLA,NIGERIA,96006,AFRICA
LOKOJA,NIGERIA,60579,AFRICA
DUTSE,NIGERIA,17129,AFRICA
KONTAGORA,NIGERIA,98754,AFRICA
ISEYIN,NIGERIA,98071,AFRICA
BIU,NIGERIA,95005,AFRICA
WUKARI,NIGERIA,92933,AFRICA
POTISKUM,NIGERIA,86002,AFRICA
KEFFI,NIGERIA,85911,AFRICA
NUMAN,NIGERIA,77617,AFRICA
IDAH,NIGERIA,75087,AFRICA
ONITSHA,NIGERIA,73374,AFRICA
OTUKPO,NIGERIA,68220,AFRICA
KUMO,NIGERIA,35712,AFRICA
IKOT ABASI,NIGERIA,34911,AFRICA
KOKO,NIGERIA,25792,AFRICA
ORLU,NIGERIA,9351,AFRICA
CAPITOL HILL,NORTHERN MARIANA ISLANDS,2500,
OSLO,NORWAY,835000,EUROPE
BERGEN,NORWAY,213585,EUROPE
STAVANGER,NORWAY,173132,EUROPE
TRONDHEIM,NORWAY,147139,EUROPE
SØRUM,NORWAY,113659,EUROPE
DRAMMEN,NORWAY,90722,EUROPE
SKIEN,NORWAY,73330,EUROPE
KRISTIANSAND,NORWAY,63814,EUROPE
TROMSØ,NORWAY,52436,EUROPE
BODØ,NORWAY,34073,EUROPE
ARENDAL,NORWAY,30916,EUROPE
HAMAR,NORWAY,29479,EUROPE
LILLEHAMMER,NORWAY,19542,EUROPE
MOLDE,NORWAY,18594,EUROPE
STEINKJER,NORWAY,11274,EUROPE
VADSØ,NORWAY,5139,EUROPE
ÅLESUND,NORWAY,47772,EUROPE
SANDNES,NORWAY,46911,EUROPE
HAUGESUND,NORWAY,40321,EUROPE
TØNSBERG,NORWAY,38914,EUROPE
MOSS,NORWAY,36901,EUROPE
GJØVIK,NORWAY,22719,EUROPE
MO I RANA,NORWAY,20409,EUROPE
NARVIK,NORWAY,20000,EUROPE
HARSTAD,NORWAY,19433,EUROPE
ALTA,NORWAY,12077,EUROPE
HAMMERFEST,NORWAY,10000,EUROPE
NAMSOS,NORWAY,9035,EUROPE
SVOLVÆR,NORWAY,4197,EUROPE
FINNSNES,NORWAY,3907,EUROPE
KIRKENES,NORWAY,3282,EUROPE
RØRVIK,NORWAY,2615,EUROPE
VOSSEVANGEN,NORWAY,5571,EUROPE
KAUPANGER,NORWAY,1965,EUROPE
MUSCAT,OMAN,734697,ASIA
AS SĪB,OMAN,237816,ASIA
ŞALĀLAH,OMAN,203877,ASIA
AŞ ŞUWAYḨIRAH AS SĀḨIL,OMAN,151349,ASIA
‘IBRĪ,OMAN,101640,ASIA
NIZWÁ,OMAN,72076,ASIA
AL MADRAH SAMĀ’IL,OMAN,47718,ASIA
DAWWAH,OMAN,2000,ASIA
MIRBĀŢ,OMAN,1120,ASIA
KARACHI,PAKISTAN,12130000,ASIA
LAHORE,PAKISTAN,6577000,ASIA
FAISALABAD,PAKISTAN,2617000,ASIA
SAIDU SHARIF,PAKISTAN,1860310,ASIA
RAWALPINDI,PAKISTAN,1858000,ASIA
MULTAN,PAKISTAN,1522000,ASIA
GUJRANWALA,PAKISTAN,1513000,ASIA
HYDERABAD CITY,PAKISTAN,1459000,ASIA
PESHAWAR,PAKISTAN,1303000,ASIA
ABBOTTABAD,PAKISTAN,1183647,ASIA
ISLAMABAD,PAKISTAN,780000,ASIA
QUETTA,PAKISTAN,768000,ASIA
BANNU,PAKISTAN,622419,ASIA
BAHAWALPUR,PAKISTAN,552607,ASIA
SARGODHA,PAKISTAN,542603,ASIA
SIALKOT CITY,PAKISTAN,477396,ASIA
SUKKUR,PAKISTAN,417767,ASIA
LARKANA,PAKISTAN,364033,ASIA
SHEKHUPURA,PAKISTAN,361303,ASIA
MIRPUR KHAS,PAKISTAN,356435,ASIA
RAHIMYAR KHAN,PAKISTAN,353203,ASIA
KOHAT,PAKISTAN,343027,ASIA
JHANG CITY,PAKISTAN,341210,ASIA
GUJRAT,PAKISTAN,301506,ASIA
MARDAN,PAKISTAN,300424,ASIA
KASUR,PAKISTAN,290643,ASIA
DERA GHAZI KHAN,PAKISTAN,236093,ASIA
SAHIWAL,PAKISTAN,235695,ASIA
NAWABSHAH,PAKISTAN,229504,ASIA
OKARA,PAKISTAN,223648,ASIA
GILGIT,PAKISTAN,216760,ASIA
CHINIOT,PAKISTAN,201781,ASIA
SADDIQABAD,PAKISTAN,189876,ASIA
TURBAT,PAKISTAN,147791,ASIA
DERA ISMAIL KHAN,PAKISTAN,101616,ASIA
CHAMAN,PAKISTAN,88568,ASIA
ZHOB,PAKISTAN,88356,ASIA
MANSEHRA,PAKISTAN,66486,ASIA
PARACHINAR,PAKISTAN,55685,ASIA
GWADAR,PAKISTAN,51901,ASIA
KUNDIAN,PAKISTAN,35406,ASIA
KOROR,PALAU,11200,OCEANIA
MELEKEOK,PALAU,7026,OCEANIA
PANAMA CITY,PANAMA,1281000,NORTH AMERICA
COLÓN,PANAMA,204000,NORTH AMERICA
DAVID,PANAMA,110037,NORTH AMERICA
SANTIAGO,PANAMA,45955,NORTH AMERICA
CHITRÉ,PANAMA,44082,NORTH AMERICA
PENONOMÉ,PANAMA,28766,NORTH AMERICA
LAS TABLAS,PANAMA,11358,NORTH AMERICA
BOCAS DEL TORO,PANAMA,9883,NORTH AMERICA
LA PALMA,PANAMA,1845,NORTH AMERICA
GAIGIRGORDUB,PANAMA,10,NORTH AMERICA
BALBOA,PANAMA,62882,NORTH AMERICA
PUERTO ARMUELLES,PANAMA,27147,NORTH AMERICA
ALMIRANTE,PANAMA,8114,NORTH AMERICA
JAQUÉ,PANAMA,1357,NORTH AMERICA
PORT MORESBY,PAPUA NEW GUINEA,283733,OCEANIA
LAE,PAPUA NEW GUINEA,131052,OCEANIA
MADANG,PAPUA NEW GUINEA,62023,OCEANIA
MOUNT HAGEN,PAPUA NEW GUINEA,59064,OCEANIA
GOROKA,PAPUA NEW GUINEA,39699,OCEANIA
POPONDETTA,PAPUA NEW GUINEA,28198,OCEANIA
MENDI,PAPUA NEW GUINEA,26252,OCEANIA
WEWAK,PAPUA NEW GUINEA,25143,OCEANIA
KAVIENG,PAPUA NEW GUINEA,19728,OCEANIA
KIMBE,PAPUA NEW GUINEA,18847,OCEANIA
DARU,PAPUA NEW GUINEA,15214,OCEANIA
ALOTAU,PAPUA NEW GUINEA,11624,OCEANIA
VANIMO,PAPUA NEW GUINEA,11204,OCEANIA
KUNDIAWA,PAPUA NEW GUINEA,9383,OCEANIA
LORENGAU,PAPUA NEW GUINEA,5806,OCEANIA
KEREMA,PAPUA NEW GUINEA,5646,OCEANIA
WABAG,PAPUA NEW GUINEA,3958,OCEANIA
ARAWA,PAPUA NEW GUINEA,40266,OCEANIA
RABAUL,PAPUA NEW GUINEA,8074,OCEANIA
KIETA,PAPUA NEW GUINEA,6958,OCEANIA
SOHANO,PAPUA NEW GUINEA,2338,OCEANIA
HOSKINS,PAPUA NEW GUINEA,871,OCEANIA
AMAU,PAPUA NEW GUINEA,230,OCEANIA
ASUNCIÓN,PARAGUAY,1870000,SOUTH AMERICA
SAN LORENZO,PARAGUAY,500000,SOUTH AMERICA
ENCARNACIÓN,PARAGUAY,357119,SOUTH AMERICA
CIUDAD DEL ESTE,PARAGUAY,320872,SOUTH AMERICA
PEDRO JUAN CABALLERO,PARAGUAY,102787,SOUTH AMERICA
CORONEL OVIEDO,PARAGUAY,88101,SOUTH AMERICA
CONCEPCIÓN,PARAGUAY,59118,SOUTH AMERICA
VILLARRICA,PARAGUAY,41157,SOUTH AMERICA
PILAR,PARAGUAY,28435,SOUTH AMERICA
CAACUPÉ,PARAGUAY,21696,SOUTH AMERICA
PARAGUARÍ,PARAGUAY,18881,SOUTH AMERICA
VILLA HAYES,PARAGUAY,15643,SOUTH AMERICA
FILADELFIA,PARAGUAY,10470,SOUTH AMERICA
SAN PEDRO DE YCUAMANDIYÚ,PARAGUAY,9360,SOUTH AMERICA
SAN JUAN BAUTISTA,PARAGUAY,7882,SOUTH AMERICA
CAAZAPÁ,PARAGUAY,5504,SOUTH AMERICA
FUERTE OLIMPO,PARAGUAY,2475,SOUTH AMERICA
ITÁ,PARAGUAY,41090,SOUTH AMERICA
YPACARAI,PARAGUAY,30150,SOUTH AMERICA
BELLA VISTA,PARAGUAY,16852,SOUTH AMERICA
HORQUETA,PARAGUAY,16171,SOUTH AMERICA
CORONEL JOSÉ FÉLIX BOGADO,PARAGUAY,14297,SOUTH AMERICA
BELÉN,PARAGUAY,11359,SOUTH AMERICA
HOHENAU,PARAGUAY,5306,SOUTH AMERICA
VILLA DEL ROSARIO,PARAGUAY,5123,SOUTH AMERICA
PUERTO LA VICTORIA,PARAGUAY,5000,SOUTH AMERICA
ARROYOS Y ESTEROS,PARAGUAY,3055,SOUTH AMERICA
ABAÍ,PARAGUAY,3024,SOUTH AMERICA
YGATIMI,PARAGUAY,2809,SOUTH AMERICA
MARISCAL ESTIGARRIBIA,PARAGUAY,2500,SOUTH AMERICA
POZO COLORADO,PARAGUAY,2135,SOUTH AMERICA
ÑACUNDAY,PARAGUAY,1250,SOUTH AMERICA
CAPITÁN PABLO LAGERENZA,PARAGUAY,1200,SOUTH AMERICA
GENERAL EUGENIO A. GARAY,PARAGUAY,972,SOUTH AMERICA
YPE JHÚ,PARAGUAY,600,SOUTH AMERICA
PUERTO PINASCO,PARAGUAY,500,SOUTH AMERICA
LIMA,PERU,8012000,SOUTH AMERICA
CALLAO,PERU,876877,SOUTH AMERICA
AREQUIPA,PERU,815000,SOUTH AMERICA
TRUJILLO,PERU,765171,SOUTH AMERICA
CHICLAYO,PERU,596792,SOUTH AMERICA
IQUITOS,PERU,458729,SOUTH AMERICA
HUANCAYO,PERU,412733,SOUTH AMERICA
PIURA,PERU,396932,SOUTH AMERICA
CUSCO,PERU,361182,SOUTH AMERICA
CHIMBOTE,PERU,349846,SOUTH AMERICA
PUCALLPA,PERU,310750,SOUTH AMERICA
TACNA,PERU,280098,SOUTH AMERICA
ICA,PERU,279420,SOUTH AMERICA
JULIACA,PERU,245675,SOUTH AMERICA
AYACUCHO,PERU,166314,SOUTH AMERICA
SULLANA,PERU,160789,SOUTH AMERICA
HUÁNUCO,PERU,158145,SOUTH AMERICA
CHINCHA ALTA,PERU,153076,SOUTH AMERICA
CAJAMARCA,PERU,142665,SOUTH AMERICA
CERRO DE PASCO,PERU,137232,SOUTH AMERICA
PUNO,PERU,116552,SOUTH AMERICA
TUMBES,PERU,109223,SOUTH AMERICA
HUARAZ,PERU,86934,SOUTH AMERICA
PISCO,PERU,81207,SOUTH AMERICA
HUACHO,PERU,80474,SOUTH AMERICA
PUERTO MALDONADO,PERU,67155,SOUTH AMERICA
ABANCAY,PERU,55111,SOUTH AMERICA
MOQUEGUA,PERU,54517,SOUTH AMERICA
MOYOBAMBA,PERU,47734,SOUTH AMERICA
HUANCAVELICA,PERU,44388,SOUTH AMERICA
CHACHAPOYAS,PERU,25978,SOUTH AMERICA
TALARA,PERU,99074,SOUTH AMERICA
CHOSICA,PERU,88606,SOUTH AMERICA
CHULUCANAS,PERU,68835,SOUTH AMERICA
PAITA,PERU,56151,SOUTH AMERICA
ILO,PERU,53476,SOUTH AMERICA
TINGO MARÍA,PERU,53177,SOUTH AMERICA
JAÉN,PERU,52493,SOUTH AMERICA
TARMA,PERU,51350,SOUTH AMERICA
FERREÑAFE,PERU,50184,SOUTH AMERICA
MOLLENDO,PERU,49033,SOUTH AMERICA
HUAURA,PERU,40400,SOUTH AMERICA
PACASMAYO,PERU,39282,SOUTH AMERICA
JUANJUÍ,PERU,37715,SOUTH AMERICA
SICUANI,PERU,33575,SOUTH AMERICA
FORBE OROYA,PERU,33345,SOUTH AMERICA
PATIVILCA,PERU,31905,SOUTH AMERICA
HUAMACHUCO,PERU,30835,SOUTH AMERICA
CASMA,PERU,30000,SOUTH AMERICA
TOCACHE NUEVO,PERU,29029,SOUTH AMERICA
CHANCAY,PERU,26958,SOUTH AMERICA
NAZCA,PERU,23556,SOUTH AMERICA
SECHURA,PERU,23020,SOUTH AMERICA
JAUJA,PERU,21057,SOUTH AMERICA
CAMANÁ,PERU,20956,SOUTH AMERICA
AYAVIRI,PERU,19310,SOUTH AMERICA
CONTAMANA,PERU,18921,SOUTH AMERICA
HUANTA,PERU,18627,SOUTH AMERICA
REQUENA,PERU,18000,SOUTH AMERICA
HUARMEY,PERU,16172,SOUTH AMERICA
ILAVE,PERU,16033,SOUTH AMERICA
PUERTO PIMENTEL,PERU,15552,SOUTH AMERICA
SATIPO,PERU,15532,SOUTH AMERICA
JUNÍN,PERU,15320,SOUTH AMERICA
SAN RAMÓN,PERU,14708,SOUTH AMERICA
CHOTA,PERU,14240,SOUTH AMERICA
LAMAS,PERU,13693,SOUTH AMERICA
MOTUPE,PERU,13681,SOUTH AMERICA
CAJABAMBA,PERU,13486,SOUTH AMERICA
CHILCA,PERU,12884,SOUTH AMERICA
PUQUIO,PERU,10491,SOUTH AMERICA
SANTIAGO,PERU,10449,SOUTH AMERICA
OTUZCO,PERU,10134,SOUTH AMERICA
SALAVERRY,PERU,10066,SOUTH AMERICA
TARAPOTO,PERU,936,SOUTH AMERICA
OLMOS,PERU,9800,SOUTH AMERICA
PUTINA,PERU,8118,SOUTH AMERICA
URUBAMBA,PERU,7540,SOUTH AMERICA
CORACORA,PERU,7420,SOUTH AMERICA
DESAGUADERO,PERU,5329,SOUTH AMERICA
SANTO TOMÁS,PERU,4134,SOUTH AMERICA
CABALLOCOCHA,PERU,3195,SOUTH AMERICA
NAUTA,PERU,2500,SOUTH AMERICA
TOURNAVISTA,PERU,511,SOUTH AMERICA
GÜEPPÍ,PERU,10,SOUTH AMERICA
ROCAFUERTE,PERU,40,SOUTH AMERICA
ANDOAS,PERU,10,SOUTH AMERICA
PUCA URCO,PERU,10,SOUTH AMERICA
SOLDADO BARTRA,PERU,10,SOUTH AMERICA
MANILA,PHILIPPINES,11100000,ASIA
QUEZON CITY,PHILIPPINES,2761720,ASIA
DAVAO,PHILIPPINES,1402000,ASIA
CAGAYAN DE ORO,PHILIPPINES,1121561,ASIA
GENERAL SANTOS,PHILIPPINES,950530,ASIA
BACOLOD,PHILIPPINES,949354,ASIA
CEBU CITY,PHILIPPINES,815000,ASIA
ZAMBOANGA CITY,PHILIPPINES,773000,ASIA
NAGA CITY,PHILIPPINES,741635,ASIA
ILIGAN,PHILIPPINES,464599,ASIA
BAGUIO CITY,PHILIPPINES,447824,ASIA
BATANGAS,PHILIPPINES,424508,ASIA
PASAY CITY,PHILIPPINES,403064,ASIA
ILOILO,PHILIPPINES,387681,ASIA
LEGAZPI CITY,PHILIPPINES,320081,ASIA
ANGELES CITY,PHILIPPINES,314493,ASIA
OLONGAPO,PHILIPPINES,304388,ASIA
CADIZ,PHILIPPINES,283157,ASIA
TACLOBAN,PHILIPPINES,280006,ASIA
COTABATO,PHILIPPINES,279519,ASIA
SAN PABLO,PHILIPPINES,240830,ASIA
CABANATUAN CITY,PHILIPPINES,220250,ASIA
LAOAG,PHILIPPINES,207048,ASIA
BUTUAN,PHILIPPINES,190557,ASIA
TARLAC CITY,PHILIPPINES,183930,ASIA
ORMOC,PHILIPPINES,167584,ASIA
DAGUPAN CITY,PHILIPPINES,163676,ASIA
PAGADIAN,PHILIPPINES,159590,ASIA
PUERTO PRINCESA,PHILIPPINES,157144,ASIA
TUGUEGARAO,PHILIPPINES,115105,ASIA
ROXAS CITY,PHILIPPINES,102688,ASIA
OZAMIZ CITY,PHILIPPINES,97806,ASIA
SURIGAO,PHILIPPINES,87832,ASIA
CALBAYOG CITY,PHILIPPINES,67921,ASIA
VIGAN,PHILIPPINES,48545,ASIA
MAGUGPO POBLACION,PHILIPPINES,6726,ASIA
SAN CARLOS,PHILIPPINES,6353,ASIA
GINGOOG,PHILIPPINES,218,ASIA
KATOWICE,POLAND,2746000,EUROPE
WARSAW,POLAND,1707000,EUROPE
ŁÓDŹ,POLAND,758000,EUROPE
KRAKÓW,POLAND,756000,EUROPE
GDAŃSK,POLAND,740000,EUROPE
BYTOM,POLAND,662247,EUROPE
WROCŁAW,POLAND,634893,EUROPE
POZNAŃ,POLAND,623997,EUROPE
GLIWICE,POLAND,507670,EUROPE
SZCZECIN,POLAND,407811,EUROPE
BYDGOSZCZ,POLAND,366452,EUROPE
LUBLIN,POLAND,360044,EUROPE
GDYNIA,POLAND,314664,EUROPE
BIAŁYSTOK,POLAND,291855,EUROPE
RZESZÓW,POLAND,245686,EUROPE
KIELCE,POLAND,215733,EUROPE
OLSZTYN,POLAND,186670,EUROPE
OPOLE,POLAND,131412,EUROPE
ELBLĄG,POLAND,127558,EUROPE
ZIELONA GÓRA,POLAND,118433,EUROPE
KOSZALIN,POLAND,107450,EUROPE
GRUDZIĄDZ,POLAND,102443,EUROPE
INOWROCŁAW,POLAND,79007,EUROPE
EŁK,POLAND,55769,EUROPE
LISBON,PORTUGAL,2812000,EUROPE
PORTO,PORTUGAL,1337000,EUROPE
BRAGA,PORTUGAL,826833,EUROPE
FUNCHAL,PORTUGAL,204767,EUROPE
SETÚBAL,PORTUGAL,117974,EUROPE
COIMBRA,PORTUGAL,106582,EUROPE
PONTA DELGADA,PORTUGAL,61526,EUROPE
PORTIMÃO,PORTUGAL,61226,EUROPE
ÉVORA,PORTUGAL,55620,EUROPE
AVEIRO,PORTUGAL,54162,EUROPE
LEIRIA,PORTUGAL,45112,EUROPE
FARO,PORTUGAL,41355,EUROPE
BEJA,PORTUGAL,35854,EUROPE
BRAGANÇA,PORTUGAL,34375,EUROPE
CASTELO BRANCO,PORTUGAL,33479,EUROPE
GUARDA,PORTUGAL,32111,EUROPE
SANTARÉM,PORTUGAL,29385,EUROPE
VISEU,PORTUGAL,26364,EUROPE
COVILHÃ,PORTUGAL,24828,EUROPE
VILA REAL,PORTUGAL,17001,EUROPE
PORTALEGRE,PORTUGAL,15581,EUROPE
VIANA DO CASTELO,PORTUGAL,15555,EUROPE
ANGRA DO HEROÍSMO,PORTUGAL,12045,EUROPE
HORTA,PORTUGAL,6611,EUROPE
SAN JUAN,PUERTO RICO,341657,
BAYAMÓN,PUERTO RICO,170245,
CAROLINA,PUERTO RICO,144192,
PONCE,PUERTO RICO,120295,
CAGUAS,PUERTO RICO,77064,
GUAYNABO,PUERTO RICO,70797,
TRUJILLO ALTO,PUERTO RICO,45936,
LEVITTOWN,PUERTO RICO,26117,
CATAÑO,PUERTO RICO,25595,
GUAYAMA,PUERTO RICO,22023,
YAUCO,PUERTO RICO,17129,
CAYEY,PUERTO RICO,15365,
MANATÍ,PUERTO RICO,13130,
RÍO GRANDE,PUERTO RICO,12998,
COAMO,PUERTO RICO,11467,
PÁJAROS,PUERTO RICO,9858,
SABANA GRANDE,PUERTO RICO,9639,
AIBONITO,PUERTO RICO,8716,
SABANA SECA,PUERTO RICO,8061,
SAN LORENZO,PUERTO RICO,7984,
LUQUILLO,PUERTO RICO,7742,
GURABO,PUERTO RICO,7715,
JUNCOS,PUERTO RICO,7353,
LAS PIEDRAS,PUERTO RICO,6988,
SAN ISIDRO,PUERTO RICO,6958,
YABUCOA,PUERTO RICO,6878,
PUERTO REAL,PUERTO RICO,6067,
SANTA ISABEL,PUERTO RICO,6042,
CAMPANILLA,PUERTO RICO,5953,
ARROYO,PUERTO RICO,5940,
CEIBA,PUERTO RICO,5764,
AÑASCO,PUERTO RICO,5645,
PEÑUELAS,PUERTO RICO,5338,
SALINAS,PUERTO RICO,5081,
SANTA BÁRBARA,PUERTO RICO,5007,
MAYAGÜEZ,PUERTO RICO,64624,
ARECIBO,PUERTO RICO,41556,
FAJARDO,PUERTO RICO,26067,
VEGA BAJA,PUERTO RICO,22975,
HUMACAO,PUERTO RICO,18011,
CANDELARIA,PUERTO RICO,15545,
DORADO,PUERTO RICO,12758,
ISABELA,PUERTO RICO,11596,
AGUADILLA,PUERTO RICO,11581,
SAN GERMÁN,PUERTO RICO,11526,
HORMIGUEROS,PUERTO RICO,11268,
VEGA ALTA,PUERTO RICO,9609,
COROZAL,PUERTO RICO,9203,
CABO ROJO,PUERTO RICO,9110,
SAN SEBASTIÁN,PUERTO RICO,8614,
CANÓVANAS,PUERTO RICO,7762,
SAN ANTONIO,PUERTO RICO,7592,
UTUADO,PUERTO RICO,7331,
GUÁNICA,PUERTO RICO,7081,
JUANA DÍAZ,PUERTO RICO,7033,
COCO,PUERTO RICO,6113,
CIDRA,PUERTO RICO,5427,
PUNTA SANTIAGO,PUERTO RICO,5168,
DOHA,QATAR,1450000,ASIA
SAINT-DENIS,REUNION,190047,
SAINT-BENOÎT,REUNION,35310,
BUCHAREST,ROMANIA,1942000,EUROPE
IAŞI,ROMANIA,325914,EUROPE
CLUJ-NAPOCA,ROMANIA,316748,EUROPE
TIMIŞOARA,ROMANIA,315053,EUROPE
GALAŢI,ROMANIA,311156,EUROPE
BRAŞOV,ROMANIA,311044,EUROPE
CRAIOVA,ROMANIA,304142,EUROPE
CONSTANŢA,ROMANIA,303399,EUROPE
PLOIEŞTI,ROMANIA,232542,EUROPE
ORADEA,ROMANIA,213830,EUROPE
BRĂILA,ROMANIA,213569,EUROPE
BACĂU,ROMANIA,199668,EUROPE
PITEŞTI,ROMANIA,171021,EUROPE
ARAD,ROMANIA,169065,EUROPE
SIBIU,ROMANIA,155565,EUROPE
TÂRGU-MUREŞ,ROMANIA,149433,EUROPE
BAIA MARE,ROMANIA,136553,EUROPE
BUZĂU,ROMANIA,130954,EUROPE
BOTOŞANI,ROMANIA,114783,EUROPE
SATU MARE,ROMANIA,112490,EUROPE
